Authority Key Identifier,Parent (Usable TLS),Parent (Active TLS),Parent (Test TLS),Parent (Usable BIMI)
00E4496D610AD2E587ED0DAD32E287DD9F6FEFCA,BD4420C592A6F7F252AE898124E002F1B9CFE1F2538864D56B34A7B4DFB31FC8,BD4420C592A6F7F252AE898124E002F1B9CFE1F2538864D56B34A7B4DFB31FC8,BD4420C592A6F7F252AE898124E002F1B9CFE1F2538864D56B34A7B4DFB31FC8,
00EF41C34EC9BD2E6B7585DF6018BC433C0A11E8,77CD51784A693D9482E7EA694E4053BCFD9DF65580FBCE14B2A7527C081803E1,77CD51784A693D9482E7EA694E4053BCFD9DF65580FBCE14B2A7527C081803E1,77CD51784A693D9482E7EA694E4053BCFD9DF65580FBCE14B2A7527C081803E1,
00FEB865F40ED902FC3D237E3AE7D09C7B118E94,8888FB2CF867B85B07968D540C4F2700045C1F954E63DEAFA614B77900D9388E,8888FB2CF867B85B07968D540C4F2700045C1F954E63DEAFA614B77900D9388E,8888FB2CF867B85B07968D540C4F2700045C1F954E63DEAFA614B77900D9388E,
01072F8A132C020EA058064BA2A6BE08227F26AD,5ADCC54514916B02DBF5E065952E9C130BEC59421E0FEA1CE9647F02050B7EC6,5ADCC54514916B02DBF5E065952E9C130BEC59421E0FEA1CE9647F02050B7EC6,5ADCC54514916B02DBF5E065952E9C130BEC59421E0FEA1CE9647F02050B7EC6,
0110B07D4C44D2A0B260F9E8DA7DFB8AAF9EAF59,562D6A5B4B067465FFD0FBFC9BB05755CDACF55B5EE5C6F910B8B53DB128F57A,562D6A5B4B067465FFD0FBFC9BB05755CDACF55B5EE5C6F910B8B53DB128F57A,562D6A5B4B067465FFD0FBFC9BB05755CDACF55B5EE5C6F910B8B53DB128F57A,
0133AC171A34657B053A441EEC628F0623086C16,5F42BAE0DF681CF88D09A94353086FC8E6865B71FA3ABB63E1C4F42AFFB5BA14,5F42BAE0DF681CF88D09A94353086FC8E6865B71FA3ABB63E1C4F42AFFB5BA14,5F42BAE0DF681CF88D09A94353086FC8E6865B71FA3ABB63E1C4F42AFFB5BA14,
0136A8AB68C0C698FA996CC6A4FA92A83714E2D2,DB088F140ACBE85FA1EC83D3851063803FFD8471564CF852B92A60FEB965A02F,DB088F140ACBE85FA1EC83D3851063803FFD8471564CF852B92A60FEB965A02F,DB088F140ACBE85FA1EC83D3851063803FFD8471564CF852B92A60FEB965A02F,
013CD85DBA5AC1ECDB15EEE77F02BA2455D57394,48FC959D0041908D9C515D919D325BC4EC5BE4330A27C2B3F9E92C24002EEF2B,48FC959D0041908D9C515D919D325BC4EC5BE4330A27C2B3F9E92C24002EEF2B,48FC959D0041908D9C515D919D325BC4EC5BE4330A27C2B3F9E92C24002EEF2B,
013D0DD0711B6678EE658D31A6D4928340B7129E,613BC7B39C378241EE953BA1A519E8F5FE30223B0457F10CC35E30A4933BA13F,613BC7B39C378241EE953BA1A519E8F5FE30223B0457F10CC35E30A4933BA13F,613BC7B39C378241EE953BA1A519E8F5FE30223B0457F10CC35E30A4933BA13F,
01405E63E4B6C16541EC8F177C5A8FAF4F8ED951,87B850BD3715C0104B5EC9D5E80BFE78850AAE4125559BBCDDE08524970B5AFF,87B850BD3715C0104B5EC9D5E80BFE78850AAE4125559BBCDDE08524970B5AFF,87B850BD3715C0104B5EC9D5E80BFE78850AAE4125559BBCDDE08524970B5AFF,
0140A2B20F2E353C5710DDF2A93A4F3B4E27E2BF,A9C3227FB1CBBD1759938EF8718FDF835C0F8B6A546928BB0B4782A570CED4E5,A9C3227FB1CBBD1759938EF8718FDF835C0F8B6A546928BB0B4782A570CED4E5,A9C3227FB1CBBD1759938EF8718FDF835C0F8B6A546928BB0B4782A570CED4E5,
014331523B53699CDD138B9E3B6D62395224EDD3,5FA5055F240D97634261391F069D67356890A66699AC353C8796C02087C3F625,5FA5055F240D97634261391F069D67356890A66699AC353C8796C02087C3F625,5FA5055F240D97634261391F069D67356890A66699AC353C8796C02087C3F625,
0156138EEF274BD1AFF200295E1CCD730C557FC6,A99E289A72124FECD635D8372F55ECC082C130261DE32ACD3F58C78B95FE8BC7,A99E289A72124FECD635D8372F55ECC082C130261DE32ACD3F58C78B95FE8BC7,A99E289A72124FECD635D8372F55ECC082C130261DE32ACD3F58C78B95FE8BC7,
0159ABE7DD3A0B59A66463D6CF200757D591E76A,9E6BC5F9ECC52460E8EDC02C644D1BE1CB9F2316F41DAF3B616A0B2058294B31,9E6BC5F9ECC52460E8EDC02C644D1BE1CB9F2316F41DAF3B616A0B2058294B31,,
015B814689EFB55006E28ED22D5D3FF09BFE26F8,684560D8149E60A28EF6A9EB08774FAD0EA49285D278E34AEDEEF291F8DC8F85,684560D8149E60A28EF6A9EB08774FAD0EA49285D278E34AEDEEF291F8DC8F85,684560D8149E60A28EF6A9EB08774FAD0EA49285D278E34AEDEEF291F8DC8F85,
01720A5B80554D6490403EDC68991A5964384EF6,14509B29DD65A03E12581550166921B4D17DF84332D9A1A14AB172E562A8093C,14509B29DD65A03E12581550166921B4D17DF84332D9A1A14AB172E562A8093C,14509B29DD65A03E12581550166921B4D17DF84332D9A1A14AB172E562A8093C,
017A87BC16468E79C8CC89E37C3C748A708F9A72,2D687BA569A21640D62F424A999FF36FCAC2203815FCAF5EB0FB77C98C9EC45F,2D687BA569A21640D62F424A999FF36FCAC2203815FCAF5EB0FB77C98C9EC45F,2D687BA569A21640D62F424A999FF36FCAC2203815FCAF5EB0FB77C98C9EC45F,
01880FEC9236FE51A5CE52ECD09901856088EF94,481E80747EC14339A968C374B8BDF3FFA6EBB1F38A09E7D01360DE265BE7B90C,481E80747EC14339A968C374B8BDF3FFA6EBB1F38A09E7D01360DE265BE7B90C,481E80747EC14339A968C374B8BDF3FFA6EBB1F38A09E7D01360DE265BE7B90C,
018994B9FEB4335DF0F1FA85F9244684A357695E,8CB32482CDAF38DD68E322AB9B4434E773910F33B2F56F8022D5156208465417,8CB32482CDAF38DD68E322AB9B4434E773910F33B2F56F8022D5156208465417,8CB32482CDAF38DD68E322AB9B4434E773910F33B2F56F8022D5156208465417,
018B3637A4BEDF191C32B85159037F538179181F,2C72DCBF8CB804CD0267043021238FE5A47C25912F4672E9001B1B0C28097C2B,2C72DCBF8CB804CD0267043021238FE5A47C25912F4672E9001B1B0C28097C2B,2C72DCBF8CB804CD0267043021238FE5A47C25912F4672E9001B1B0C28097C2B,
0193221145ECF2E1079A42FB4E65FF67966AC6DD,C65CC16BC32727388D7B190A04C7E5269D575F4CDCCB4E724A863690F6F834C9,C65CC16BC32727388D7B190A04C7E5269D575F4CDCCB4E724A863690F6F834C9,C65CC16BC32727388D7B190A04C7E5269D575F4CDCCB4E724A863690F6F834C9,
019C7649C5EE1A77A48A53A0CC03AA27BE2C48C7,32B4B3768CA5A4D80E9DF8D557B7424F80AF5560B1148D05548DC3D76A7ED619,32B4B3768CA5A4D80E9DF8D557B7424F80AF5560B1148D05548DC3D76A7ED619,32B4B3768CA5A4D80E9DF8D557B7424F80AF5560B1148D05548DC3D76A7ED619,
019FFAAC3E116DFE4D7A3912205EF40985313E4C,,6F4E2464D216A1E0B558BB204259B4A545AEB948957AA3EAF11B2F4DE1AFEF10,,
01A6B0FD96C74AA86922B2119E60DB6A34C61452,5251E2A5B3A42021667994B04E195B693B9B71B752267C44DC310A77979BDC00,5251E2A5B3A42021667994B04E195B693B9B71B752267C44DC310A77979BDC00,5251E2A5B3A42021667994B04E195B693B9B71B752267C44DC310A77979BDC00,
01B92FEFBF118660F24FD0416EAB731FE7D26E49,554153B13D2CF9DDB753BFBE1A4E0AE08D0AA4187058FE60A2B862B2E4B87BCB,554153B13D2CF9DDB753BFBE1A4E0AE08D0AA4187058FE60A2B862B2E4B87BCB,554153B13D2CF9DDB753BFBE1A4E0AE08D0AA4187058FE60A2B862B2E4B87BCB,
01B99894372F528E669597608859F7D8859BF787,F6D1ADAE705E1B9ACB019F489D7D8E15FB73DF4AA9D21CFC1E39E3209FCDF907,F6D1ADAE705E1B9ACB019F489D7D8E15FB73DF4AA9D21CFC1E39E3209FCDF907,,
01BAD492610FB716E9E833148AE45C89C45CB196,301C767502761A9098936F6CAA736C43640741E0DD9A2698F43A001D97C167F9,301C767502761A9098936F6CAA736C43640741E0DD9A2698F43A001D97C167F9,,
01BBD69B56B47EE6C558DD2C98F4CA72F65F3386,AFE80A97EA11159190E927E08EC2E60C59A40559483A3FEE838A85321B3AEAAD,AFE80A97EA11159190E927E08EC2E60C59A40559483A3FEE838A85321B3AEAAD,,
01D7D5804DD8D86DBDA8A18C03FE2B541F5E91C4,8FC89B7368A29129735677440476908711DA8F3F04C0AB6A61D6DE9D4EB4D1C2,8FC89B7368A29129735677440476908711DA8F3F04C0AB6A61D6DE9D4EB4D1C2,8FC89B7368A29129735677440476908711DA8F3F04C0AB6A61D6DE9D4EB4D1C2,
01DB381809B2B283D12167C6A023D9B5C163F532,D03100BFD449C0C71B7A94CB521EEB157DB704EACD5D4BA196EEE34D20921499,D03100BFD449C0C71B7A94CB521EEB157DB704EACD5D4BA196EEE34D20921499,D03100BFD449C0C71B7A94CB521EEB157DB704EACD5D4BA196EEE34D20921499,
01DB94A862B460085395F6D4A81EFBF604A346AA,AAFDCEE5793B5CF4BF2D0C5F6042D8A422BCC33B3965AC6283D273CC69B48375,AAFDCEE5793B5CF4BF2D0C5F6042D8A422BCC33B3965AC6283D273CC69B48375,AAFDCEE5793B5CF4BF2D0C5F6042D8A422BCC33B3965AC6283D273CC69B48375,
01DDB12430892CC803835E10AE711E49F2EE4B07,,46219BBF9148F00E8B7A4C619B57CF7602701FF81348400718870FABD31FC5BE,,
01DDFA5DA0DFFCB6E88BBA51A87CC5C7CD684987,2DB5F502BFDD8224E075572F84E01F08EE04F021A10BEAFC094ECCD133A46AD3,2DB5F502BFDD8224E075572F84E01F08EE04F021A10BEAFC094ECCD133A46AD3,2DB5F502BFDD8224E075572F84E01F08EE04F021A10BEAFC094ECCD133A46AD3,
01F60AC44F63737B7DEE35F8B70F7BDC8C623F56,2FF8F3276E98EBCB6C2E6C524BF12AA40E6B6813A88E72C4BB9D24428E7961FA,2FF8F3276E98EBCB6C2E6C524BF12AA40E6B6813A88E72C4BB9D24428E7961FA,2FF8F3276E98EBCB6C2E6C524BF12AA40E6B6813A88E72C4BB9D24428E7961FA,
01FDB5609A8C744C24D2BCD40C1CCA088A44DB0E,2534EC1BD74C3C1B7661A0E7CC28F1BDF2A82CCD3943EEAADCD8FED95055EAD1,2534EC1BD74C3C1B7661A0E7CC28F1BDF2A82CCD3943EEAADCD8FED95055EAD1,2534EC1BD74C3C1B7661A0E7CC28F1BDF2A82CCD3943EEAADCD8FED95055EAD1,
0212018D69B97C8361DEDB0F0256055632E948E8,A79831D06B05530A5533526EAD1EF6E0D7FFA2BC52D59EEFB41B950AECC31CDB,A79831D06B05530A5533526EAD1EF6E0D7FFA2BC52D59EEFB41B950AECC31CDB,A79831D06B05530A5533526EAD1EF6E0D7FFA2BC52D59EEFB41B950AECC31CDB,
0213EEAE1C20382CA9F06FEA5F9F073A93EF4774,E5C01CB4093279FAA19FCFA24EA43EB1B26D07A615ADF7240184A1E716B761C9,E5C01CB4093279FAA19FCFA24EA43EB1B26D07A615ADF7240184A1E716B761C9,,
02263E7261F220D848EA65BDE59BADA328FAEFD1,7662CD07EC09B733CECFDBB0E9D36E23BA81636BE633A3658797C1241DC9CD53,7662CD07EC09B733CECFDBB0E9D36E23BA81636BE633A3658797C1241DC9CD53,7662CD07EC09B733CECFDBB0E9D36E23BA81636BE633A3658797C1241DC9CD53,
02398E9BC7D16420A92172D335BBCE7E76AABF21,009627A7D92E494AF593C408AC1E97958CB2D359EE4540E1D78418835336D309,009627A7D92E494AF593C408AC1E97958CB2D359EE4540E1D78418835336D309,,
